使用眼在手上的标定方式。以下为Link_6->camera_frame的变换。

算法(end_link->camera)                 x          y          z         rx         ry        rz  四元数姿态(w,x,y,z)                                                                         distance
---------------------------  -----------  ---------  ---------  ---------  ---------  --------  ----------------------------------------------------------------------------------------  ----------
end_link->camera:Tsai-Lenz   1.25731e-06  0.0456113  0.0363973  -0.701918  -0.53429   -131.209  [0.4129986054170768, -0.0067761307146684165, 0.0036526216284096247, -0.9106991239324475]   0.0583537
end_link->camera:Park        0.000274034  0.0459691  0.0362136  -0.677449  -0.419637  -132.382  [0.40366179021242915, -0.00573683794479192, 0.003930365845650985, -0.9148818503157724]     0.0585206
end_link->camera:Horaud      0.000291832  0.045993   0.0362336  -0.683966  -0.393849  -132.462  [0.4030180368257728, -0.0055510341740416915, 0.004077158287668858, -0.9151661186872011]    0.0585518
end_link->camera:Daniilidis  0.000704178  0.0459169  0.0295924  -0.683833  -0.287367  -133.348  [0.39594419718022034, -0.0046656694544192955, 0.004486793578082127, -0.9182517590134195]   0.0546312

算法平均值测试              x            y            z            rx           ry           rz         距离
----------------  -----------  -----------  -----------  ------------  -----------  -----------  -----------
mean              0.000317825  0.0458726    0.0346092    -0.686791     -0.408786    -132.35      0.0575143
var               6.30192e-08  2.35208e-08  8.39456e-06   8.32085e-05   0.00770865     0.57792   2.77643e-06
std               0.000251036  0.000153365  0.00289734    0.00912187    0.0877989      0.760211  0.00166626
Tsai-Lenz                       x             y            z         rx           ry         rz  四元数姿态(w,x,y,z)                                                                    距离
-------------------  ------------  ------------  -----------  ---------  -----------  ---------  ----------------------------------------------------------------------------------  -------
base_link->marker30  -1.10353      -0.0623911   0.676672     1.56739       0.00015589   1.49209     [0.5202048071027798, 0.5183608835480573, 0.47916446784766487, 0.48071859317765303]  1.29598
base_link->marker31  -1.10125      -0.0638397   0.680637     1.54445      -0.00648563   1.51425     [0.5191023265185248, 0.5087119491590703, 0.477536011111946, 0.4936641423854134]     1.29619
mean                 -1.1046       -0.0631922   0.677532     1.57514      -0.00186803   1.47277     1.2974088754843178
var                   3.31413e-05   3.4989e-05  7.25011e-05  0.000554469   2.62926e-05  0.00112749  5.3401412104106095e-05
std                   0.00575685    0.00591515  0.00851476   0.0235472     0.00512763   0.0335781   0.007307626981729849
Horaud                          x             y            z          rx            ry          rz  四元数姿态(w,x,y,z)                                                                    距离
-------------------  ------------  ------------  -----------  ----------  ------------  ----------  ----------------------------------------------------------------------------------  -------
base_link->marker0   -1.11213      -0.0695188    0.69539      1.56255     -0.000263057  1.49383     [0.5209377718853434, 0.5167878808329803, 0.47834041574198527, 0.482436079408532]    1.31348
base_link->marker1   -1.11015      -0.0668976    0.691818     1.57204      0.000841702  1.50333     [0.5164600851526805, 0.5166980234161096, 0.48337028032796525, 0.48233318892404203]  1.30978
base_link->marker2   -1.10594      -0.056811     0.687795     1.57239      0.00200837   1.4683      [0.5250141238753827, 0.5248982918322838, 0.47463423160092, 0.4728258655737006]      1.30361
base_link->marker3   -1.10645      -0.0462579    0.685223     1.55752     -0.00158669   1.39041     [0.5462375572900743, 0.539748875078993, 0.4494827672906203, 0.4563561380824201]     1.30227
base_link->marker4   -1.10951      -0.0711073    0.688383     1.6001       0.00438759   1.46702     [0.5185573156820672, 0.5318744530456874, 0.481416255004104, 0.46523785955979885]    1.30765
base_link->marker5   -1.1044       -0.0748651    0.673971     1.60287     -0.00373376   1.54891     [0.49633232143962636, 0.5143897011414535, 0.5014357711882951, 0.4874624389906952]   1.29597
base_link->marker6   -1.10369      -0.0735168    0.654784     1.53269      0.00674272   1.49601     [0.529710627136634, 0.5067168673205169, 0.4734863518697935, 0.4883188942324781]     1.28541
base_link->marker7   -1.10706      -0.0627869    0.67019      1.58464     -0.00183514   1.45562     [0.5238478143640218, 0.5320178894539556, 0.47315624989402516, 0.46761479432671843]  1.29564
base_link->marker8   -1.11215      -0.0595226    0.675727     1.57536     -0.00248588   1.42822     [0.5325454888887663, 0.5361339955884502, 0.4635093699307218, 0.4627253019070964]    1.3027
base_link->marker9   -1.11171      -0.0616548    0.674501     1.56147     -0.00411741   1.47786     [0.5241404618531973, 0.5212285460171122, 0.4729266707790357, 0.47951844920822545]   1.30178
base_link->marker10  -1.09387      -0.0614502    0.673257     1.53946     -0.00698692   1.46621     [0.5319902488312567, 0.5188290390284974, 0.4638419669643443, 0.4823416145138954]    1.28592
base_link->marker11  -1.10345      -0.0596631    0.662721     1.55219     -0.0179079    1.52805     [0.5109389750911378, 0.5101982988149869, 0.4799949707031199, 0.4982407929092336]    1.28855
base_link->marker12  -1.11459      -0.064088     0.676748     1.58529     -0.00193649   1.48083     [0.5177161740819469, 0.5262052415173994, 0.4799527785447242, 0.47404993118949534]   1.30553
base_link->marker13  -1.09732      -0.062794     0.675335     1.55268     -0.0050097    1.48349     [0.5248571007075069, 0.5178066823295945, 0.47203797598928543, 0.48330260996157176]  1.29001
base_link->marker14  -1.09835      -0.0635894    0.681072     1.57752     -0.00385231   1.47587     [0.5204764649953384, 0.5258266430029256, 0.47630681298625965, 0.4751235742384324]   1.29393
base_link->marker15  -1.11649      -0.0626626    0.671726     1.60546     -0.00347993   1.4742      [0.5135640187552893, 0.5333640802396316, 0.48254528560285626, 0.4678940092504997]   1.30449
base_link->marker16  -1.09865      -0.0571486    0.664217     1.64292     -0.0061939    1.45288     [0.5076831034989633, 0.5487072770496143, 0.48471790157107597, 0.45412195105609104]  1.2851
base_link->marker17  -1.10899      -0.0652109    0.677171     1.55165     -0.00532049   1.45177     [0.5326535911599986, 0.5250278143332445, 0.4634389841713674, 0.47523705027178237]   1.30102
base_link->marker18  -1.10583      -0.0650862    0.677635     1.54627     -0.00623051   1.44712     [0.5349595489032108, 0.524879882506359, 0.460695489969949, 0.4754777129358775]      1.29857
base_link->marker19  -1.10584      -0.0612762    0.677033     1.5684      -0.00857091   1.45039     [0.5278006354214535, 0.5305511034527051, 0.46617185263384564, 0.47183240635394547]  1.29808
base_link->marker20  -1.10077      -0.0586631    0.67366      1.56719     -0.00794021   1.44952     [0.5284736469934808, 0.5302862730611394, 0.4658249933657701, 0.4717193536331925]    1.29188
base_link->marker21  -1.1046       -0.0532045    0.684965     1.59245      0.00312341   1.44643     [0.5250747112917077, 0.535089307796167, 0.4738176359492322, 0.46203119819729616]    1.30083
base_link->marker22  -1.10297      -0.0594756    0.68596      1.58207     -0.0029146    1.47455     [0.5198171462259095, 0.5271028577302356, 0.4772820143835791, 0.4734496706178209]    1.30024
base_link->marker23  -1.10273      -0.0593371    0.687778     1.58294     -0.00541748   1.48988     [0.5153405139079812, 0.5242479871798016, 0.48086784945115146, 0.4778643259620971]   1.30099
